,Intern_name,Intern_link,Company_name,Location,Location_link,Start date,Stpend
0,Digital Marketing,https://internshala.com/internships/internship-at-GIIT%20Solutions,GIIT Solutions,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,1000 /month
1,UI/UX Design,https://internshala.com/internships/internship-at-Kuberlo,Kuberlo,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,5000 /month
2,Social Media Marketing,https://internshala.com/internships/internship-at-Srishty%20Choudhry,Srishty Choudhry,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,1000 /month
3,Web Design,https://internshala.com/internships/internship-at-ShowDown%20Art,ShowDown Art,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,5000-8000 /month
4,Marketing,https://internshala.com/internships/internship-at-Wevolve%20Consumer%20Private%20Limited,Wevolve Consumer Private Limited,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,1000 /month +  Incentives
5,Content Writing,https://internshala.com/internships/internship-at-Writeronrent,Writeronrent,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,3000 /month
6,Business Development (Sales),https://internshala.com/internships/internship-at-Achieverz%20Classes,Achieverz Classes,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,1000 /month +  Incentives
7,Web Development,https://internshala.com/internships/internship-at-Master%20Connects,Master Connects,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,3000 /month
8,Graphic Design,https://internshala.com/internships/internship-at-Lemon%20Design%20Studios,Lemon Design Studios,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,4000 /month
9,Business Development (Sales),https://internshala.com/internships/internship-at-FIT%20GYM%20LIFE,FIT GYM LIFE,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,1500 /month
10,Mobile App Development,https://internshala.com/internships/internship-at-Unitic%20Ltd,Unitic Ltd,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,8000-9000 /month
11,Graphic Design,https://internshala.com/internships/internship-at-ANIVALE%20Private%20Limited,ANIVALE Private Limited,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,4000-6000 /month
12,UX Design,https://internshala.com/internships/internship-at-Pankhuri,Pankhuri,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,5000-10000 /month
13,Social Media Marketing,https://internshala.com/internships/internship-at-G2M%20Digital,G2M Digital,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,5000 /month
14,Accounts,https://internshala.com/internships/internship-at-CIPHER%20Healthcare,CIPHER Healthcare,Hyderabad,https://internshala.com/internships/internship-in-hyderabad,Immediately,15000 /month
15,Social Media Marketing,https://internshala.com/internships/internship-at-Laparwah,Laparwah,Work From Home,https://internshala.com/internships/virtual-internship,Immediately,3000 /month
